iter	RMSE
138	8.182170394
139	8.1796218
140	8.176662814
141	8.173026459
142	8.168290573
143	8.163800758
144	8.160327316
145	8.157726407
146	8.155757341
147	8.151861079
148	8.144218227
149	8.135855057
150	8.133034199
151	8.131829678
152	8.123336954
153	8.118073776
154	8.114463539
155	8.112181237
156	8.106818099
157	8.099989409
158	8.098198228
159	8.092454856
160	8.087298056
161	8.084495148
162	8.076309195
163	8.0735116
164	8.06897729
165	8.064150387
166	8.0597389
167	8.054590328
168	8.052304123
169	8.045893088
170	8.042465414
171	8.039566089
172	8.032490661
173	8.026362469
174	8.021271767
175	8.017453849
176	8.010448962
177	8.00511597
178	7.999791833
179	7.996815904
180	7.992906316
181	7.98825375
182	7.981157057
183	7.977560316
184	7.97389799
185	7.968513803
186	7.96686046
187	7.960954529
188	7.954276914
189	7.949584279
190	7.942977179
191	7.937787282
192	7.931127978
193	7.928780779
194	7.925506759
195	7.923214866
196	7.917811856
197	7.91247502
198	7.909512178
199	7.903498869
200	7.900361527
201	7.898351924
202	7.895010003
203	7.890967969
204	7.888159489
205	7.879229688
206	7.874368919
207	7.870959279
208	7.866499879
209	7.864171247
210	7.861593631
211	7.857274
212	7.849997946
213	7.846925878
214	7.844464897
215	7.839114894
216	7.833881356
217	7.829027243
218	7.826835742
219	7.820315968
220	7.817692121
221	7.81225521
222	7.810485277
223	7.806062633
224	7.800076888
225	7.795565183
226	7.792551148
227	7.790140941
228	7.784834995
229	7.780711255
230	7.77478801
231	7.772842872
232	7.770598251
233	7.766743785
234	7.763804613
235	7.761739754
236	7.757126623
237	7.752237894
238	7.747802082
239	7.742141886
240	7.739963138
241	7.736770036
242	7.73231538
243	7.728600647
244	7.726979989
245	7.723970433
246	7.719945725
247	7.716526546
248	7.713559297
249	7.70945894
250	7.70687883
251	7.703574454
252	7.70033768
253	7.696123332
254	7.689733798
255	7.688150409
256	7.686601655
257	7.682580486
258	7.680608056
259	7.6759946
260	7.672184804
261	7.666736479
262	7.664068898
263	7.661147419
264	7.658349984
265	7.652687751
266	7.649235056
267	7.646770229
268	7.640442161
269	7.638144113
270	7.634479881
271	7.629790943
272	7.627379622
273	7.620044723
274	7.618227015
275	7.613236769
276	7.610098334
277	7.606500701
278	7.604382324
279	7.601767421
280	7.600069262
281	7.596032781
282	7.591983524
283	7.587177906
284	7.584425464
285	7.581864703
286	7.579749086
287	7.577825363
288	7.572882541
289	7.568054274
290	7.564377872
291	7.560802827
292	7.556264275
293	7.552824207
294	7.548206198
295	7.545102911
296	7.543785228
297	7.539660865
298	7.535583927
299	7.532682644
300	7.529022137
301	7.523846913
302	7.521749152
303	7.51877021
304	7.516014159
305	7.513886928
306	7.506854415
307	7.504066365
308	7.502535203
309	7.500622061
310	7.49917353
311	7.496004087
312	7.49256061
313	7.486048976
314	7.481229915
315	7.479391768
316	7.477223447
317	7.470714428
318	7.469342451
319	7.465989842
320	7.463611548
321	7.461878988
322	7.459653174
323	7.45652112
324	7.451375113
325	7.44951301
326	7.4466384
327	7.444969002
328	7.442232451
329	7.439379212
330	7.436552535
331	7.434936082
332	7.432155344
333	7.429143171
334	7.425498992
335	7.42249298
336	7.419180185
337	7.416544288
338	7.413672001
339	7.411758194
340	7.410521299
341	7.407927682
342	7.404435857
343	7.398668701
344	7.396974438
345	7.395226295
346	7.392647924
347	7.39082529
348	7.386587856
349	7.38557057
350	7.38430872
351	7.381641545
352	7.380505442
353	7.377697287
354	7.374505818
355	7.373637462
356	7.372007674
357	7.36970795
358	7.365795836
359	7.363958928
360	7.362373883
361	7.361255235
362	7.359904916
363	7.357334248
364	7.355723577
365	7.354449113
366	7.35321629
367	7.350386063
368	7.348998407
369	7.347476992
370	7.345006097
371	7.3417679
372	7.338178216
373	7.337350721
374	7.334058522
375	7.332989379
376	7.331483906
377	7.327770504
378	7.32405731
379	7.320691934
380	7.318389835
381	7.314894257
382	7.313433459
383	7.310790134
384	7.30870624
385	7.304521228
386	7.302252997
387	7.300498163
388	7.296292607
389	7.294672478
390	7.293410979
391	7.291462802
392	7.290454174
393	7.288799022
394	7.284142808
395	7.281248432
396	7.276955779
397	7.273993027
398	7.268377957
399	7.266883719
400	7.26469568
401	7.262406971
402	7.261084178
403	7.259487231
404	7.254508605
405	7.253382325
406	7.252260389
407	7.250065369
408	7.248649351
409	7.247203494
410	7.241865378
411	7.240472521
412	7.239725779
413	7.23820566
414	7.23405006
415	7.232619669
416	7.23142578
417	7.228332023
418	7.226715503
419	7.225056477
420	7.222006541
421	7.218830535
422	7.214327123
423	7.213613538
424	7.212498589
425	7.210645301
426	7.208056759
427	7.203023471
428	7.198279215
429	7.193000502
430	7.1920086
431	7.189643699
432	7.188421535
433	7.184824884
434	7.182086874
435	7.180576352
436	7.178274922
437	7.175392332
438	7.174075424
439	7.172529276
440	7.170925245
441	7.170116619
442	7.165559591
443	7.163949196
444	7.162468684
445	7.157888736
446	7.154482888
447	7.153374309
448	7.14898593
449	7.146040725
450	7.144584201
451	7.142657494
452	7.139691793
453	7.138296689
454	7.134043217
455	7.132762371
456	7.13091898
457	7.127863934
458	7.126472368
459	7.124919823
460	7.118574802
461	7.115696192
462	7.114723482
463	7.113639753
464	7.111422118
465	7.110925535
466	7.108629269
467	7.106526122
468	7.105608457
469	7.102815227
470	7.101819995
471	7.097128136
472	7.095572779
473	7.092329109
474	7.091307397
475	7.089320817
476	7.086764021
477	7.085788904
478	7.084047777
479	7.079289975
480	7.07841666
481	7.076711472
482	7.071119767
483	7.069470273
484	7.067172876
485	7.062673685
486	7.06062785
487	7.057759077
488	7.054553653
489	7.053054816
490	7.051534476
491	7.050039784
492	7.045763585
493	7.044170713
494	7.041005676
495	7.03622078
496	7.034796517
497	7.033604854
498	7.030980894
499	7.028638161
